"id_rubrique","nom","edito","titre_seo","seo","parent","ordre","active","dept","created","modified","modifier"
"66","Zoos",,,,"1","0","1","73","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"67","Loisirs dehors",,,,"4","0","1","73","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"68","Musées ",,,,"3","0","1","73","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"69","Au bord de l&#039;eau ",,,,"1","2","1","73","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"70","Apprendre",,,,"2","7","1","73","2015-06-09 10:17:03","2021-06-08 14:51:12","Elea BOUVIER"
"71","Parcs et balades",,,,"1","1","1","73","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"72","Théâtres ",,,,"2","0","1","73","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"73","Ciné",,,,"2","3","1","73","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"74","Loisirs dedans",,,,"4","1","1","73","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"75","Vieilles pierres et patrimoine",,,,"3","1","1","30","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"76","Gros spectacles",,,,"2","5","1","73","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"77","Contes et merveilles",,,,"2","1","1","73","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"78","Eveil ",,,,"4","2","1","73","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"79","Ferme pédagogique",,,,"1","3","1","73","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"80","Musée dépoussiéré",,,,"3","0","1","30","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"81","Pour les sportifs",,,,"4","0","1","30","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"82","Sous vos applaudissements",,,,"2","0","1","30","2015-06-09 10:17:03","2016-02-02 09:45:43","Responsable 29"
"118","Cafés et restos kids friendly",,,,"5","1","1","30","2015-06-11 14:12:46","2016-02-02 09:45:43","Anne-Cecile Bechu"
